Id,Age,Gender,Expenditures,Ethnicity
108,23,Female,49028,Hispanic
109,80,Female,54309,White not Hispanic
110,6,Female,987,White not Hispanic
111,25,Female,41107,White not Hispanic
112,0,Male,904,White not Hispanic
113,65,Female,56752,White not Hispanic
114,4,Female,1977,Hispanic
115,12,Female,3450,Hispanic
116,19,Male,10716,White not Hispanic
117,20,Male,9161,Hispanic
118,12,Female,3007,Hispanic
119,33,Male,34558,White not Hispanic
120,15,Male,3269,Hispanic
121,24,Female,40980,Hispanic
122,4,Male,1196,Hispanic
123,18,Male,4814,Black
124,5,Male,1997,White not Hispanic
125,24,Female,51149,Hispanic
126,18,Female,11038,Hispanic
127,21,Male,3988,Asian
128,18,Female,12306,White not Hispanic
129,19,Female,12649,Hispanic
130,24,Male,37416,White not Hispanic
131,11,Female,2664,Hispanic
132,66,Female,59926,Hispanic
133,20,Female,10696,Asian
134,19,Male,9972,Hispanic
135,14,Female,5920,Hispanic
136,5,Male,2549,Hispanic
137,17,Male,2686,Hispanic
138,34,Female,40277,Hispanic
139,27,Female,42702,White not Hispanic
140,37,Female,42455,White not Hispanic
141,13,Male,4097,Hispanic
142,4,Male,1957,Hispanic
143,5,Male,1646,Hispanic
144,4,Male,1525,Hispanic
145,4,Male,1294,Hispanic
146,16,Male,4664,Multi Race
147,22,Male,43292,White not Hispanic
148,16,Female,1432,Asian
149,0,Male,1435,Hispanic
150,4,Male,1631,White not Hispanic
151,20,Male,8687,Black
152,19,Female,8096,Hispanic
153,3,Male,1123,Hispanic
154,77,Female,55015,Asian
155,4,Male,1644,White not Hispanic
156,17,Female,3678,Hispanic
157,18,Male,8999,White not Hispanic
158,16,Male,1740,Hispanic
159,21,Female,15176,Hispanic
160,35,Male,27417,White not Hispanic
161,18,Female,9078,White not Hispanic
162,9,Female,1963,Hispanic
163,15,Male,4670,Hispanic
164,4,Male,2553,White not Hispanic
165,14,Male,3394,Hispanic
166,0,Female,995,Hispanic
167,0,Female,1068,White not Hispanic
168,15,Male,4818,White not Hispanic
169,2,Male,650,White not Hispanic
170,21,Female,15179,White not Hispanic
171,21,Female,16237,Hispanic
172,27,Female,47242,White not Hispanic
173,82,Female,58922,White not Hispanic
174,21,Male,9592,Hispanic
175,21,Male,10008,White not Hispanic
176,28,Female,42346,White not Hispanic
177,6,Female,2119,Hispanic
178,40,Male,42840,White not Hispanic
179,19,Female,10292,Hispanic
180,16,Female,3501,Hispanic
181,23,Male,40992,White not Hispanic
182,0,Male,741,Hispanic
183,42,Male,37916,White not Hispanic
184,11,Female,1339,White not Hispanic
185,74,Female,54266,White not Hispanic
186,4,Male,1016,Hispanic
187,6,Female,1582,Hispanic
188,20,Male,13345,Asian
189,33,Female,47204,White not Hispanic
190,17,Male,4723,Hispanic
191,13,Male,2460,Hispanic
192,0,Male,2296,Multi Race
193,16,Female,5718,Hispanic
194,21,Female,7571,Asian
195,18,Male,7207,Asian
196,4,Male,1028,Hispanic
197,12,Female,3141,Hispanic
198,17,Male,4556,White not Hispanic
199,25,Female,49142,White not Hispanic
200,11,Male,3585,Hispanic
201,7,Female,2039,Hispanic
202,12,Female,2431,White not Hispanic
203,11,Male,1024,White not Hispanic
204,22,Female,43858,Hispanic
205,1,Male,762,Hispanic
206,62,Female,49749,White not Hispanic
207,20,Male,7081,Hispanic
208,5,Female,2291,Hispanic
209,9,Female,3374,White not Hispanic
210,4,Male,2359,Hispanic
211,33,Female,40809,Hispanic
212,4,Male,2211,Hispanic
213,19,Male,11527,Hispanic
214,15,Female,3959,Hispanic
215,20,Male,12854,White not Hispanic
216,1,Male,966,Hispanic
217,21,Male,7339,Hispanic
218,24,Male,46703,White not Hispanic
219,8,Female,3378,Hispanic
220,8,Male,2807,White not Hispanic
221,30,Male,46246,White not Hispanic
222,17,Male,4513,Hispanic
223,56,Female,48215,White not Hispanic
224,16,Male,2357,White not Hispanic
225,20,Male,9597,White not Hispanic
226,14,Male,386,Asian
227,7,Female,1473,Hispanic
228,16,Male,4112,Hispanic
229,19,Female,8530,Asian
230,5,Male,1315,Asian
231,14,Male,4653,Hispanic
232,78,Female,55430,American Indian
233,9,Male,722,White not Hispanic
234,19,Female,7667,Hispanic
235,20,Male,12587,Hispanic
236,7,Male,1725,Asian
237,4,Female,791,White not Hispanic
238,10,Female,2189,White not Hispanic
239,3,Male,668,Hispanic
240,20,Female,6218,Hispanic
241,17,Male,2015,Hispanic
242,21,Male,8948,Hispanic
243,71,Female,52472,White not Hispanic
244,11,Female,2918,Multi Race
245,2,Male,561,Hispanic
246,88,Female,54655,White not Hispanic
247,70,Female,59622,Hispanic
248,23,,32344,Asian
249,11,Female,3335,White not Hispanic
250,60,Female,46873,Black
251,10,Male,2380,White not Hispanic
252,17,Female,4921,Hispanic
253,10,Male,1455,White not Hispanic
254,25,Male,38730,White not Hispanic
255,38,Female,35088,Hispanic
256,11,Female,2059,Asian
257,16,Female,4054,Asian
258,7,Male,1212,Black
259,19,Male,12178,White not Hispanic
260,11,Male,1084,Hispanic
261,15,Female,3529,Asian
262,20,Female,11775,White not Hispanic
263,24,Female,36279,White not Hispanic
264,27,Female,47021,White not Hispanic
265,8,Male,641,Asian
266,20,Male,6362,White not Hispanic
267,11,Female,3695,Hispanic
268,4,Male,1437,Asian
269,11,Male,1582,White not Hispanic
270,25,Female,41984,Asian
271,2,Male,1347,White not Hispanic
272,18,Female,13593,White not Hispanic
273,1,Female,1767,Hispanic
274,12,Female,2880,White not Hispanic
275,13,Male,4483,Asian
276,13,Male,4003,White not Hispanic
277,69,Male,67884,White not Hispanic
278,23,Female,46590,White not Hispanic
279,31,Male,39007,White not Hispanic
280,21,Male,10046,White not Hispanic
281,9,Male,2695,Asian
282,85,Male,64898,White not Hispanic
283,26,Female,36738,Hispanic
284,27,Male,34394,White not Hispanic
285,68,Male,49502,Hispanic
286,13,Male,4554,Black
287,9,Male,1824,Asian
288,30,Female,43134,White not Hispanic
289,10,Female,1622,Multi Race
290,13,Male,3522,Hispanic
291,8,Male,2776,Hispanic
292,18,Female,14578,White not Hispanic
293,21,Male,10150,Hispanic
294,20,Female,9207,White not Hispanic
295,20,Female,7605,Hispanic
296,8,Male,2954,Hispanic
297,13,Male,2797,Black
298,59,Male,42739,Asian
299,15,Female,2900,Asian
300,1,Female,384,White not Hispanic
301,21,Female,9504,Asian
302,27,Female,38031,Hispanic
303,19,Male,7083,White not Hispanic
304,9,Male,2877,White not Hispanic
305,6,Male,1173,Hispanic
306,21,Female,12083,Hispanic
307,19,Male,3157,White not Hispanic
308,15,Male,4533,Hispanic
309,17,Female,3694,White not Hispanic
310,18,Female,8299,White not Hispanic
311,76,Male,62097,Hispanic
312,18,Male,11935,Hispanic
313,20,Male,11034,Hispanic
314,19,Male,12481,White not Hispanic
315,18,Female,9200,Asian
316,20,Female,10294,Hispanic
317,21,Male,11668,Asian
318,37,Female,37948,White not Hispanic
319,14,Female,5530,White not Hispanic
320,16,Male,3909,Black
321,16,Male,5041,Asian
322,24,Female,39345,White not Hispanic
323,18,Female,16310,Hispanic
324,20,Female,6272,White not Hispanic
325,0,Female,685,White not Hispanic
326,9,Male,2490,Hispanic
327,59,Female,44734,White not Hispanic
328,54,Female,52833,White not Hispanic
329,10,Female,2341,Black
330,5,Female,1088,White not Hispanic
331,14,Male,3399,Multi Race
332,21,Female,11811,Hispanic
333,17,Male,3945,Hispanic
334,73,Female,60198,Asian
335,9,Female,2781,Hispanic
336,4,Female,374,Asian
337,30,Male,36469,White not Hispanic
338,12,Male,2269,White not Hispanic
339,21,Female,10973,White not Hispanic
340,13,Male,1597,Hispanic
341,25,Female,48684,Hispanic
342,14,Female,2366,White not Hispanic
343,32,Female,45017,White not Hispanic
344,32,Male,43545,Black
345,7,Male,1645,White not Hispanic
346,13,Male,4975,Hispanic
347,14,Female,3257,Hispanic
348,18,Male,7878,Asian
349,16,Female,3977,White not Hispanic
350,6,Male,2247,Hispanic
351,16,Female,4215,White not Hispanic
352,74,Male,52041,White not Hispanic
353,9,Male,1758,Hispanic
354,24,Male,51392,Hispanic
355,0,Female,1398,Black
356,86,Male,60452,White not Hispanic
357,17,Female,4495,Hispanic
358,15,Female,2744,Hispanic
359,74,Female,57760,White not Hispanic
360,16,Male,3561,Hispanic
361,21,Female,10063,White not Hispanic
362,11,Female,2906,Hispanic
363,11,Male,2140,Multi Race
364,34,Female,46325,White not Hispanic
365,57,Male,48363,White not Hispanic
366,16,Female,5637,Hispanic
367,16,Female,3740,White not Hispanic
368,13,Male,4014,Asian
369,8,Female,2904,Hispanic
370,9,Female,2854,White not Hispanic
371,28,Female,39147,Hispanic
372,15,Female,4036,White not Hispanic
373,12,Male,3196,Asian
374,17,Female,3677,White not Hispanic
375,20,Male,6397,Hispanic
376,27,Female,48745,White not Hispanic
377,20,Male,7446,Hispanic
378,12,Male,1109,White not Hispanic
379,17,Male,5163,Hispanic
380,67,Male,52243,Hispanic
381,26,Male,40637,White not Hispanic
382,14,Female,4774,Hispanic
383,28,Male,41464,White not Hispanic
384,52,Male,51777,Hispanic
385,57,Female,42897,White not Hispanic
386,76,Male,59829,White not Hispanic
387,16,Male,3141,Hispanic
388,9,,2028,Asian
389,14,Female,4363,White not Hispanic
390,27,Female,37778,Asian
391,8,Male,1332,White not Hispanic
392,22,Female,36691,Hispanic
393,73,Male,53211,Hispanic
394,11,Male,1144,Multi Race
395,11,Female,1217,White not Hispanic
396,89,Female,58304,White not Hispanic
397,2,Female,1113,White not Hispanic
398,73,Male,47997,White not Hispanic
399,19,Female,10502,White not Hispanic
400,13,Male,5872,White not Hispanic
401,33,Male,27090,White not Hispanic
402,32,Female,37697,Black
403,17,Female,5040,Hispanic
404,7,Male,2415,White not Hispanic
405,11,Male,2167,Hispanic
406,26,Male,41144,Asian
407,95,Male,55187,Hispanic
408,66,Male,49056,Black
409,35,Female,32529,White not Hispanic
410,16,Female,3738,White not Hispanic
411,25,Male,38619,Multi Race
412,30,Male,44910,Black
413,7,Female,2797,Hispanic
414,16,Male,4975,Hispanic
415,16,Male,4067,Asian
416,17,Male,4918,Black
417,31,Female,47778,Asian
418,9,Male,2755,Hispanic
419,22,Male,27058,White not Hispanic
420,64,Male,57119,White not Hispanic
421,-1,Female,3728,Asian
422,16,Male,4550,White not Hispanic
423,81,Female,75098,Asian
424,9,Female,2016,Hispanic
425,7,Male,1974,Asian
426,21,Male,12259,Black
427,39,Male,36576,Black
428,13,Male,2810,Hispanic
429,16,Male,3745,Hispanic
430,10,Female,2854,Hispanic
431,1,Female,1592,Hispanic
432,13,Male,4245,White not Hispanic
433,16,Male,3445,Hispanic
434,18,Male,3153,Asian
435,65,Male,52076,Asian
436,10,Male,676,White not Hispanic
437,16,Female,4696,Hispanic
438,16,Female,4949,Black
439,25,Female,44916,White not Hispanic
440,18,Female,11125,Asian
441,6,Female,4163,Hispanic
442,14,Male,4608,Hispanic
443,25,Female,41752,White not Hispanic
444,19,Female,7564,Multi Race
445,25,Male,46951,Hispanic
446,16,Female,3555,White not Hispanic
447,12,Female,3562,Hispanic
448,8,Male,2746,Hispanic
449,15,Male,3015,White not Hispanic
450,20,Male,9369,Asian
451,21,Female,8469,Hispanic
452,25,Female,48021,Black
453,18,Male,11723,White not Hispanic
454,14,Male,4219,Hispanic
455,75,Male,52147,Hispanic
456,7,Female,633,White not Hispanic
457,11,Female,1363,Hispanic
458,14,Male,3113,Hispanic
459,13,Male,3417,White not Hispanic
460,7,Male,776,Hispanic
461,32,Female,36827,Hispanic
462,23,Female,43333,White not Hispanic
463,16,Male,2054,White not Hispanic
464,6,Female,1335,Asian
465,6,Female,1790,Black
466,19,Female,10531,Asian
467,12,Female,3539,Hispanic
468,19,Male,10230,Hispanic
469,27,Female,42969,White not Hispanic
470,24,Male,48694,White not Hispanic
471,30,Male,33721,Asian
472,30,Female,42703,White not Hispanic
473,30,Male,35523,White not Hispanic
474,18,Female,8869,Hispanic
475,55,Male,49554,White not Hispanic
476,16,Female,2018,Other
477,10,Female,2455,White not Hispanic
478,6,Female,3379,Hispanic
479,14,Female,3580,Hispanic
480,71,Male,46719,White not Hispanic
481,31,Female,46437,White not Hispanic
482,14,Male,5514,White not Hispanic
483,17,Female,5228,Hispanic
484,33,Female,42265,White not Hispanic
485,21,Female,13129,Hispanic
486,19,Female,8714,Asian
487,20,Male,13248,White not Hispanic
488,12,Female,1262,White not Hispanic
489,29,Male,41013,Asian
490,17,Female,2948,White not Hispanic
491,71,Female,55428,Asian
492,25,Male,38085,Black
493,13,Female,4005,White not Hispanic
494,10,Female,4152,Hispanic
495,95,Female,54680,Black
496,15,Female,3190,Hispanic
497,15,Male,3443,Hispanic
498,45,Male,46132,Black
499,17,Female,2184,Hispanic
500,16,Male,5412,Hispanic
501,24,Male,37133,White not Hispanic
502,0,Female,2532,Asian
503,15,Female,4527,Hispanic
504,15,Female,3055,White not Hispanic
505,32,Male,40587,White not Hispanic
506,21,Male,7488,White not Hispanic
507,20,Female,9540,White not Hispanic
508,12,Female,3003,Hispanic
509,19,Female,7122,Hispanic
510,7,Female,2191,Hispanic
511,68,Male,57363,Hispanic
512,16,Female,1641,Hispanic
513,26,Male,37347,White not Hispanic
514,20,Female,15278,White not Hispanic
515,20,Female,11070,White not Hispanic
516,21,Female,9805,White not Hispanic
517,88,Male,54875,Hispanic
518,18,,11054,Multi Race
519,72,Male,53834,White not Hispanic
520,29,Female,42041,Hispanic
521,21,Female,11202,White not Hispanic
522,64,Female,60774,White not Hispanic
523,22,Female,47954,Hispanic
524,23,Male,36180,White not Hispanic
525,5,Female,1632,Hispanic
526,6,Male,3948,Black
527,19,Female,12882,White not Hispanic
528,19,Female,8700,Asian
529,19,Male,11986,Hispanic
530,62,Male,47420,Hispanic
531,17,Male,4300,Hispanic
532,13,Male,4787,Hispanic
533,12,Female,2339,Hispanic
534,15,Female,4345,Hispanic
535,14,Female,4768,White not Hispanic
536,80,Male,57821,White not Hispanic
537,20,Female,9061,Hispanic
538,6,Female,3530,Asian
539,21,Male,4931,Hispanic
540,21,Male,10385,Asian
541,17,Male,3904,White not Hispanic
542,8,Male,2590,White not Hispanic
543,34,Female,41522,Black
544,27,Female,40156,White not Hispanic
545,18,Male,11479,Hispanic
546,15,Female,4798,Hispanic
547,83,Male,58803,White not Hispanic
548,21,Male,16133,White not Hispanic
549,64,Male,51599,Asian
550,26,Female,45507,White not Hispanic
551,8,Female,3544,White not Hispanic
552,9,Female,1713,Hispanic
553,14,Female,2462,Hispanic
554,19,Male,11816,White not Hispanic
555,17,Male,4531,White not Hispanic
556,35,Female,36607,White not Hispanic
557,15,Female,4884,Hispanic
558,14,Male,4058,Hispanic
559,5,Female,2019,White not Hispanic
560,7,Female,3464,Hispanic
561,12,Male,1539,Hispanic
562,16,Male,5224,White not Hispanic
563,62,Female,49075,Asian
564,69,Male,59682,White not Hispanic
565,21,Female,5066,Hispanic
566,20,Male,5583,
567,4,Female,456,Hispanic
568,0,Female,1147,Hispanic
569,37,Male,30627,White not Hispanic
570,7,Male,3000,Multi Race
571,11,Male,2885,Multi Race
572,20,Male,6255,Asian
573,18,Female,10068,White not Hispanic
574,14,Male,5025,Black
575,1,Female,2157,Asian
576,13,Female,3726,American Indian
577,11,Male,1286,Hispanic
578,24,Female,47674,White not Hispanic
579,21,Female,4731,Hispanic
580,16,Male,3839,White not Hispanic
581,13,Female,1195,White not Hispanic
582,24,Female,46911,Asian
583,17,Male,3629,Hispanic
584,52,Female,48826,White not Hispanic
585,21,Male,15718,White not Hispanic
586,19,Female,5616,Hispanic
587,29,Male,34708,White not Hispanic
588,17,Male,3075,Asian
589,21,Female,6669,White not Hispanic
590,23,Male,39693,White not Hispanic
591,9,Male,3552,White not Hispanic
592,23,Female,27845,Hispanic
593,10,Female,2409,Hispanic
594,8,Female,2122,White not Hispanic
595,33,Female,42458,White not Hispanic
596,22,Male,40648,White not Hispanic
597,27,Male,36712,Asian
598,22,Male,31138,White not Hispanic
599,15,Female,2917,Asian
600,68,Male,43945,White not Hispanic
601,27,Male,49793,White not Hispanic
602,20,Female,10247,Hispanic
603,59,Male,33110,White not Hispanic
604,6,Female,1722,White not Hispanic
605,75,Male,50261,White not Hispanic
606,8,Male,2153,Hispanic
607,12,Male,847,Hispanic
608,66,Female,50910,White not Hispanic
609,20,Male,11470,Hispanic
610,10,Female,3584,Black
611,17,Female,2722,White not Hispanic
612,63,Male,48614,White not Hispanic
613,18,Male,6991,White not Hispanic
614,16,Female,3698,Hispanic
615,28,Male,33278,Asian
616,54,Female,50141,Native Hawaiian
617,5,Female,2308,Hispanic
618,17,Male,4527,Hispanic
619,6,Female,1254,Hispanic
620,16,Male,4017,White not Hispanic
621,53,Male,53457,White not Hispanic
622,20,Male,6829,White not Hispanic
623,10,Male,1110,Hispanic
624,15,Male,3423,Hispanic
625,12,Male,1184,Hispanic
626,12,Male,1854,Black
627,12,Male,1689,Hispanic
628,18,Male,10535,Asian
629,10,Male,1560,Hispanic
630,18,Male,6620,Asian
631,19,Male,14729,Hispanic
632,23,Female,40394,White not Hispanic
633,17,Male,3520,White not Hispanic
634,19,Female,14926,Hispanic
635,26,Female,44588,White not Hispanic
636,52,Male,39536,White not Hispanic
637,24,Female,45735,White not Hispanic
638,11,Female,2143,Hispanic
639,22,Female,44002,White not Hispanic
640,18,Male,8511,Hispanic
641,65,Male,55442,Black
642,18,Male,9846,Asian
643,23,Male,49548,Hispanic
644,6,Male,2493,Hispanic
645,20,Female,13579,Hispanic
646,33,Male,44765,White not Hispanic
647,39,Male,36621,Hispanic
648,27,Male,50301,White not Hispanic
649,27,Female,32886,Asian
650,36,Male,38400,Black
651,18,Male,10299,White not Hispanic
652,25,Male,34425,White not Hispanic
653,27,Male,38331,White not Hispanic
654,11,Male,2498,Hispanic
655,20,Female,6771,Asian
656,20,Male,12265,Asian
657,27,Male,50353,White not Hispanic
658,16,Female,2797,Hispanic
659,8,Female,1733,Black
660,10,Female,992,White not Hispanic
661,5,Female,1339,Asian
662,8,Male,1594,Asian
663,13,Female,3332,White not Hispanic
664,13,Male,4963,Hispanic
665,8,Female,1417,Hispanic
666,18,Female,10969,White not Hispanic
667,9,Male,2643,Hispanic
668,20,Male,10976,Asian
669,5,Female,1053,Multi Race
670,7,Female,1903,Hispanic
671,16,Male,2760,Hispanic
672,18,Female,8567,White not Hispanic
673,21,Female,12172,White not Hispanic
674,19,Female,6690,Hispanic
675,19,Female,11629,Hispanic
676,30,Female,40727,Native Hawaiian
677,17,Female,5055,Hispanic
678,17,Male,3052,White not Hispanic
679,39,Female,56716,White not Hispanic
680,15,Male,3911,Hispanic
681,14,Female,3060,Asian
682,18,Male,3225,Hispanic
683,20,Male,11242,White not Hispanic
684,17,Male,4152,Hispanic
685,19,Female,7805,Hispanic
686,15,Male,3702,Hispanic
687,14,Female,5062,Multi Race
688,9,Female,1690,White not Hispanic
689,27,Female,39454,Asian
690,53,Male,49380,White not Hispanic
691,20,Female,16677,Hispanic
692,13,Male,3395,Hispanic
693,65,Female,54874,White not Hispanic
694,6,Female,3099,Hispanic
695,17,Female,3088,Hispanic
696,18,Male,14221,Hispanic
697,20,Male,12392,Asian
698,16,Male,4166,Black
699,19,Female,11032,White not Hispanic
700,34,Male,40546,White not Hispanic
701,6,Male,2597,Asian
702,19,Male,11068,White not Hispanic
703,9,Female,2634,Hispanic
704,34,Female,45409,Hispanic
705,56,Male,52618,Black
706,22,Female,31853,Black
707,18,Female,3829,Hispanic
708,21,Female,7166,White not Hispanic
709,16,Male,4615,Other
710,18,Male,11282,Asian
711,16,Female,3060,Hispanic
712,5,Female,1702,Hispanic
713,21,Male,6977,Hispanic
714,20,Male,10898,White not Hispanic
715,13,Male,3419,Asian
716,14,Female,3633,Hispanic
717,18,Female,12603,Hispanic
718,62,Female,50219,White not Hispanic
719,8,Male,2261,Black
720,6,Male,3203,Hispanic
721,35,Female,42329,White not Hispanic
722,8,Female,1609,Hispanic
723,18,Male,11176,Hispanic
724,19,Female,8398,White not Hispanic
725,7,Male,1728,White not Hispanic
726,19,Male,11180,Hispanic
727,27,Female,28581,Asian
728,12,Male,1416,Hispanic
729,15,Male,3677,Hispanic
730,15,Male,4616,White not Hispanic
731,90,Female,58392,American Indian
732,9,Male,1661,Hispanic
733,-1,Female,1611,Black
734,21,Male,9363,White not Hispanic
735,17,Female,5347,Hispanic
736,14,Female,4378,Hispanic
737,20,Female,10815,White not Hispanic
738,10,Female,2368,White not Hispanic
739,30,Female,40572,Hispanic
740,72,Female,50198,White not Hispanic
741,11,Male,793,Hispanic
742,14,Male,2551,White not Hispanic
743,19,Female,8804,White not Hispanic
744,10,Female,2865,Hispanic
745,3,Female,1167,Hispanic
746,13,Female,5098,White not Hispanic
747,15,Male,5304,Hispanic
748,36,Male,38246,White not Hispanic
749,12,Male,1776,Hispanic
750,20,Female,15711,Hispanic
751,12,Male,3704,Hispanic
752,66,Male,47006,White not Hispanic
753,13,Male,4710,Asian
754,88,Female,56415,White not Hispanic
755,18,Male,11240,White not Hispanic
756,79,Female,58469,White not Hispanic
757,14,Male,4842,White not Hispanic
758,14,Male,2701,White not Hispanic
759,90,Female,57845,White not Hispanic
760,21,Male,6482,White not Hispanic
761,20,Male,9162,Hispanic
762,21,Female,12552,White not Hispanic
763,32,Male,30791,White not Hispanic
764,19,Female,9341,Hispanic
765,30,Male,48121,Hispanic
766,16,Male,3047,White not Hispanic
767,18,Male,3707,Asian
768,71,Female,52421,Asian
769,18,Female,18435,Asian
770,24,Male,37367,Hispanic
771,15,Female,4260,Hispanic
772,0,Female,1458,Hispanic
773,20,Male,12234,Asian
774,39,Male,33259,White not Hispanic
775,6,Female,1804,Hispanic
776,51,Female,52105,White not Hispanic
777,10,Female,1934,Hispanic
778,30,Male,40268,White not Hispanic
779,23,Male,37479,Native Hawaiian
780,75,Female,65581,Hispanic
781,66,Male,42160,White not Hispanic
782,7,Female,3125,Black
783,21,Female,7683,Asian
784,35,Female,33070,White not Hispanic
785,32,Male,32704,White not Hispanic
786,21,Male,-11491,Black
787,19,Male,5303,White not Hispanic
788,25,Female,46437,Hispanic
789,32,Male,28205,American Indian
790,0,Female,1704,White not Hispanic
791,31,Male,33051,White not Hispanic
792,23,Male,50542,Asian
793,27,Male,37708,Hispanic
794,6,Female,987,Hispanic
795,10,Female,1590,Hispanic
796,19,Female,15527,White not Hispanic
797,17,Female,4496,Hispanic
798,20,Female,13264,Asian
799,8,Female,2459,White not Hispanic
800,71,Male,58594,Black
801,21,Male,13468,Hispanic
802,22,Female,40240,Asian
803,11,Male,2727,White not Hispanic
804,21,Male,9923,Asian
805,37,Male,41550,White not Hispanic
806,23,Male,36521,White not Hispanic
807,11,Female,1905,Hispanic
808,20,Female,7237,White not Hispanic
809,22,Male,28061,Black
810,24,Female,42746,White not Hispanic
811,26,Male,34915,White not Hispanic
812,18,Female,7144,White not Hispanic
813,15,Female,3251,Hispanic
814,30,Male,42070,Hispanic
815,23,Male,40159,Hispanic
816,22,Male,37201,White not Hispanic
817,53,Male,50176,Hispanic
818,7,Male,1691,Asian
819,29,Female,46356,White not Hispanic
820,33,Male,38762,White not Hispanic
821,72,Male,60808,Black
822,62,Male,47709,White not Hispanic
823,18,Female,10439,Hispanic
824,20,Female,11810,Hispanic
825,31,Male,34021,Hispanic
826,80,Male,68890,White not Hispanic
827,70,Male,50230,Hispanic
828,29,Male,36658,White not Hispanic
829,73,Male,51455,White not Hispanic
830,20,Male,9932,Hispanic
831,20,Female,11803,Asian
832,40,Male,48064,Asian
833,13,Female,4473,White not Hispanic
834,24,Male,30803,Asian
835,32,Female,37637,White not Hispanic
836,62,Male,44111,White not Hispanic
837,18,Male,8985,White not Hispanic
838,28,Female,48968,Asian
839,6,Male,2924,Hispanic
840,2,Female,697,Multi Race
841,24,Female,37663,Hispanic
842,19,Male,9675,Black
843,17,Female,4216,Asian
844,14,Female,5576,White not Hispanic
845,25,Male,31943,Hispanic
846,7,Female,2834,Black
847,12,Male,1531,White not Hispanic
848,15,Female,5254,White not Hispanic
849,23,Male,44219,White not Hispanic
850,28,Male,26178,Hispanic
851,14,Female,3189,White not Hispanic
852,12,Female,3732,Hispanic
853,23,Male,25348,Asian
854,21,Female,8957,Hispanic
